task,model,signal,metric,value
gsm8k,vllm/l31-8bi,consistency_t0.7_entropy,cal_ece,0.064807627675656
gsm8k,vllm/l31-8bi,consistency_t0.7_entropy,raw_ece,0.053570444918843454
gsm8k,vllm/l31-8bi,consistency_t0.7_entropy,auarc,0.9698074739146321
gsm8k,vllm/phi4mii,constant,auroc,nan
gsm8k,vllm/phi4mii,constant,cal_brier,0.09520500000000003
gsm8k,vllm/phi4mii,constant,cal_ece,0.020999999999999786
gsm8k,vllm/phi4mii,constant,auarc,0.894
gsm8k,vllm/phi4mii,seq_response,auroc,0.7585158921109282
gsm8k,vllm/phi4mii,seq_response,cal_brier,0.08436006850226685
gsm8k,vllm/phi4mii,seq_response,cal_ece,0.02217516481602498
gsm8k,vllm/phi4mii,seq_response,raw_ece,0.034380796000416
gsm8k,vllm/phi4mii,seq_response,auarc,0.952865625255128
gsm8k,vllm/phi4mii,seq_response_min,auroc,0.6741378582584103
gsm8k,vllm/phi4mii,seq_response_min,cal_brier,0.09199321681179594
gsm8k,vllm/phi4mii,seq_response_min,cal_ece,0.021401523125651144
gsm8k,vllm/phi4mii,seq_response_min,raw_ece,0.5957315579211536
gsm8k,vllm/phi4mii,seq_response_min,auarc,0.9434910464779491
gsm8k,vllm/phi4mii,seq_response_tail10,auroc,0.7190916381748343
gsm8k,vllm/phi4mii,seq_response_tail10,cal_brier,0.08696689218960006
gsm8k,vllm/phi4mii,seq_response_tail10,cal_ece,0.020083007329401215
gsm8k,vllm/phi4mii,seq_response_tail10,raw_ece,0.40810621999371394
gsm8k,vllm/phi4mii,seq_response_tail10,auarc,0.9489276969398638
gsm8k,vllm/phi4mii,verification,auroc,0.750116077835465
gsm8k,vllm/phi4mii,verification,cal_brier,0.08600463797791068
gsm8k,vllm/phi4mii,verification,cal_ece,0.017151183160201453
gsm8k,vllm/phi4mii,verification,raw_ece,0.14530113015857923
gsm8k,vllm/phi4mii,verification,auarc,0.9423431998518338
gsm8k,vllm/phi4mii,verbalized,auroc,0.5834283061078046
gsm8k,vllm/phi4mii,verbalized,cal_brier,0.09630093004446241
gsm8k,vllm/phi4mii,verbalized,cal_ece,0.03920369937215645
gsm8k,vllm/phi4mii,verbalized,raw_ece,0.026100000000000036
gsm8k,vllm/phi4mii,verbalized,auarc,0.9162303092048288
gsm8k,vllm/phi4mii,consistency_t0.7,auroc,0.9201173441391246
gsm8k,vllm/phi4mii,consistency_t0.7,cal_brier,0.05247723738103734
gsm8k,vllm/phi4mii,consistency_t0.7,cal_ece,0.036706300637894713
gsm8k,vllm/phi4mii,consistency_t0.7,raw_ece,0.0432
gsm8k,vllm/phi4mii,consistency_t0.7,auarc,0.9796471863731773
gsm8k,vllm/phi4mii,consistency_t0.7_margin,auroc,0.8223164914946605
gsm8k,vllm/phi4mii,consistency_t0.7_margin,cal_brier,0.07626338209126088
gsm8k,vllm/phi4mii,consistency_t0.7_margin,cal_ece,0.02266485380991401
gsm8k,vllm/phi4mii,consistency_t0.7_margin,raw_ece,0.08480000000000004
gsm8k,vllm/phi4mii,consistency_t0.7_margin,auarc,0.9613535021909155
gsm8k,vllm/phi4mii,consistency_t0.7_entropy,auroc,0.8310750918070153
gsm8k,vllm/phi4mii,consistency_t0.7_entropy,cal_brier,0.07070381107037846
gsm8k,vllm/phi4mii,consistency_t0.7_entropy,cal_ece,0.017652373738656857
gsm8k,vllm/phi4mii,consistency_t0.7_entropy,raw_ece,0.05626325972983603
gsm8k,vllm/phi4mii,consistency_t0.7_entropy,auarc,0.9622466546572073
gsm8k,vllm/q3-4bi,constant,auroc,nan
gsm8k,vllm/q3-4bi,constant,cal_brier,0.06026500000000001
gsm8k,vllm/q3-4bi,constant,cal_ece,0.019000000000000024
gsm8k,vllm/q3-4bi,constant,auarc,0.936
gsm8k,vllm/q3-4bi,seq_response,auroc,0.7994791666666666
gsm8k,vllm/q3-4bi,seq_response,cal_brier,0.051788401779434154
gsm8k,vllm/q3-4bi,seq_response,cal_ece,0.017122020606774733
gsm8k,vllm/q3-4bi,seq_response,raw_ece,0.03003900836798229
gsm8k,vllm/q3-4bi,seq_response,auarc,0.9780558977315897
gsm8k,vllm/q3-4bi,seq_response_min,auroc,0.7255275106837606
gsm8k,vllm/q3-4bi,seq_response_min,cal_brier,0.05471266861641264
gsm8k,vllm/q3-4bi,seq_response_min,cal_ece,0.018563205769526078
gsm8k,vllm/q3-4bi,seq_response_min,raw_ece,0.4476903145280572
gsm8k,vllm/q3-4bi,seq_response_min,auarc,0.970444738683503
gsm8k,vllm/q3-4bi,seq_response_tail10,auroc,0.797142094017094
gsm8k,vllm/q3-4bi,seq_response_tail10,cal_brier,0.05180346875601078
gsm8k,vllm/q3-4bi,seq_response_tail10,cal_ece,0.016859312729441026
gsm8k,vllm/q3-4bi,seq_response_tail10,raw_ece,0.18339297060576853
gsm8k,vllm/q3-4bi,seq_response_tail10,auarc,0.9779665899312973
gsm8k,vllm/q3-4bi,verification,auroc,0.8213808760683761
gsm8k,vllm/q3-4bi,verification,cal_brier,0.05740256151388492
gsm8k,vllm/q3-4bi,verification,cal_ece,0.01799272050177774
gsm8k,vllm/q3-4bi,verification,raw_ece,0.10109784006899844
gsm8k,vllm/q3-4bi,verification,auarc,0.9835002174061664
gsm8k,vllm/q3-4bi,verbalized,auroc,0.546875
gsm8k,vllm/q3-4bi,verbalized,cal_brier,0.06026499999995326
gsm8k,vllm/q3-4bi,verbalized,cal_ece,0.01899999999977359
gsm8k,vllm/q3-4bi,verbalized,raw_ece,0.06246666666666667
gsm8k,vllm/q3-4bi,verbalized,auarc,0.9416272695752956
gsm8k,vllm/q3-4bi,consistency_t0.7,auroc,0.8675213675213675
gsm8k,vllm/q3-4bi,consistency_t0.7,cal_brier,0.03255347160176703
gsm8k,vllm/q3-4bi,consistency_t0.7,cal_ece,0.016272658341482553
gsm8k,vllm/q3-4bi,consistency_t0.7,raw_ece,0.0316
gsm8k,vllm/q3-4bi,consistency_t0.7,auarc,0.9813541788812729
gsm8k,vllm/q3-4bi,consistency_t0.7_margin,auroc,0.8014489850427351
gsm8k,vllm/q3-4bi,consistency_t0.7_margin,cal_brier,0.04065059566208035
gsm8k,vllm/q3-4bi,consistency_t0.7_margin,cal_ece,0.023132107115262864
gsm8k,vllm/q3-4bi,consistency_t0.7_margin,raw_ece,0.040799999999999996
gsm8k,vllm/q3-4bi,consistency_t0.7_margin,auarc,0.9732299402305294
gsm8k,vllm/q3-4bi,consistency_t0.7_entropy,auroc,0.8028178418803419
gsm8k,vllm/q3-4bi,consistency_t0.7_entropy,cal_brier,0.03980484447190443
gsm8k,vllm/q3-4bi,consistency_t0.7_entropy,cal_ece,0.022420177310435812
gsm8k,vllm/q3-4bi,consistency_t0.7_entropy,raw_ece,0.03940113276999262
gsm8k,vllm/q3-4bi,consistency_t0.7_entropy,auarc,0.973313654731418
math500,vllm/g3-12i,constant,auroc,nan
math500,vllm/g3-12i,constant,cal_brier,0.12354430379746836
math500,vllm/g3-12i,constant,cal_ece,0.06075949367088576
math500,vllm/g3-12i,constant,auarc,0.8607594936708861
math500,vllm/g3-12i,seq_response,auroc,0.6375935828877005
math500,vllm/g3-12i,seq_response,cal_brier,0.12024651991088592
math500,vllm/g3-12i,seq_response,cal_ece,0.0666942444410015
math500,vllm/g3-12i,seq_response,raw_ece,0.08065857666216256
math500,vllm/g3-12i,seq_response,auarc,0.9026359798059478
math500,vllm/g3-12i,seq_response_min,auroc,0.8522459893048129
math500,vllm/g3-12i,seq_response_min,cal_brier,0.09910048860969237
math500,vllm/g3-12i,seq_response_min,cal_ece,0.07513821679531542
math500,vllm/g3-12i,seq_response_min,raw_ece,0.559164124398451
math500,vllm/g3-12i,seq_response_min,auarc,0.9591196440823515
math500,vllm/g3-12i,seq_response_tail10,auroc,0.659572192513369
math500,vllm/g3-12i,seq_response_tail10,cal_brier,0.1191261330791573
math500,vllm/g3-12i,seq_response_tail10,cal_ece,0.07225796898792139
math500,vllm/g3-12i,seq_response_tail10,raw_ece,0.24508566851935876
math500,vllm/g3-12i,seq_response_tail10,auarc,0.9071188353727456
math500,vllm/g3-12i,verification,auroc,0.9134224598930482
math500,vllm/g3-12i,verification,cal_brier,0.0948323582627487
math500,vllm/g3-12i,verification,cal_ece,0.10540116728155319
math500,vllm/g3-12i,verification,raw_ece,0.10249010247103912
math500,vllm/g3-12i,verification,auarc,0.9734764091314909
math500,vllm/g3-12i,verbalized,auroc,0.8974866310160428
math500,vllm/g3-12i,verbalized,cal_brier,0.07300141770746571
math500,vllm/g3-12i,verbalized,cal_ece,0.07519554123022683
math500,vllm/g3-12i,verbalized,raw_ece,0.09628691983122364
math500,vllm/g3-12i,verbalized,auarc,0.9647727463423398
math500,vllm/g3-12i,consistency_t0.7,auroc,0.9174598930481284
math500,vllm/g3-12i,consistency_t0.7,cal_brier,0.06416915781052916
math500,vllm/g3-12i,consistency_t0.7,cal_ece,0.04474358015063601
math500,vllm/g3-12i,consistency_t0.7,raw_ece,0.04354430379746834
math500,vllm/g3-12i,consistency_t0.7,auarc,0.9697305093509224
math500,vllm/g3-12i,consistency_t0.7_margin,auroc,0.8672459893048128
math500,vllm/g3-12i,consistency_t0.7_margin,cal_brier,0.08270598625167624
math500,vllm/g3-12i,consistency_t0.7_margin,cal_ece,0.04202000028777874
math500,vllm/g3-12i,consistency_t0.7_margin,raw_ece,0.054177215189873416
math500,vllm/g3-12i,consistency_t0.7_margin,auarc,0.9587824946958041
